inf {'act': [4], 'batch_size': [54.0], 'dt': [0.26294562315300374], 'hidden_dim': [387.0], 'l2reg': [0.08046577209185801], 'layers': [1.0], 'lr': [0.06369750559614268], 'lr2': [8.659858953947984e-05], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [32.0], 'dt': [0.3077976528725087], 'hidden_dim': [404.0], 'l2reg': [0.00016948739359956555], 'layers': [0.0], 'lr': [0.003485082436168807], 'lr2': [9.892515209694536e-06], 'n_updates': [4.0]}
inf {'act': [2], 'batch_size': [484.0], 'dt': [0.34006436929686473], 'hidden_dim': [46.0], 'l2reg': [1.8051571876196165e-05], 'layers': [6.0], 'lr': [0.02992854075948908], 'lr2': [2.402830301810494e-06], 'n_updates': [1.0]}
inf {'act': [5], 'batch_size': [31.0], 'dt': [0.20472211078565197], 'hidden_dim': [428.0], 'l2reg': [0.09047606762380517], 'layers': [0.0], 'lr': [0.0033735954053371784], 'lr2': [1.1308362524880027e-05], 'n_updates': [4.0]}
inf {'act': [4], 'batch_size': [33.0], 'dt': [0.09491701382059024], 'hidden_dim': [514.0], 'l2reg': [1.4602600812454436], 'layers': [4.0], 'lr': [0.0024369032513776264], 'lr2': [1.3737213662727326e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [83.0], 'dt': [0.10133427566008375], 'hidden_dim': [621.0], 'l2reg': [0.007769901703559752], 'layers': [3.0], 'lr': [0.02729503773245709], 'lr2': [1.3711118410800733e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [31.0], 'dt': [0.10205996104678751], 'hidden_dim': [599.0], 'l2reg': [0.2235022242150816], 'layers': [4.0], 'lr': [0.001897096972300635], 'lr2': [1.2795786765194171e-05], 'n_updates': [4.0]}
inf {'act': [4], 'batch_size': [72.0], 'dt': [0.4262009994586374], 'hidden_dim': [340.0], 'l2reg': [0.10388590043748396], 'layers': [1.0], 'lr': [0.009408005687254587], 'lr2': [4.259253939683217e-06], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [25.0], 'dt': [0.16009053052612557], 'hidden_dim': [717.0], 'l2reg': [1.9729328979055603], 'layers': [0.0], 'lr': [0.014768944433098003], 'lr2': [2.4459516230148595e-05], 'n_updates': [4.0]}
inf {'act': [4], 'batch_size': [55.0], 'dt': [0.30875401803279395], 'hidden_dim': [375.0], 'l2reg': [0.00015649244591606397], 'layers': [1.0], 'lr': [0.0036720123836618806], 'lr2': [7.603659141052079e-05], 'n_updates': [5.0]}
inf {'act': [4], 'batch_size': [31.0], 'dt': [0.22433490422446242], 'hidden_dim': [376.0], 'l2reg': [0.1137335115258967], 'layers': [4.0], 'lr': [0.003346364384547089], 'lr2': [2.2355354379375907e-05], 'n_updates': [4.0]}
inf {'act': [5], 'batch_size': [55.0], 'dt': [0.225919341131517], 'hidden_dim': [394.0], 'l2reg': [0.00013862071260149878], 'layers': [1.0], 'lr': [0.05069673904817221], 'lr2': [7.07565569136687e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [55.0], 'dt': [0.25978211759606457], 'hidden_dim': [377.0], 'l2reg': [0.06537705090030364], 'layers': [1.0], 'lr': [0.03413089930324093], 'lr2': [3.0883165212641225e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [30.0], 'dt': [0.2735812854478689], 'hidden_dim': [378.0], 'l2reg': [0.06871184201588307], 'layers': [0.0], 'lr': [0.0033883741839735096], 'lr2': [8.244279724255048e-05], 'n_updates': [4.0]}
inf {'act': [5], 'batch_size': [31.0], 'dt': [0.286694732650077], 'hidden_dim': [400.0], 'l2reg': [0.07769443060967755], 'layers': [0.0], 'lr': [0.0032602487752848705], 'lr2': [7.987616791031383e-05], 'n_updates': [4.0]}
inf {'act': [4], 'batch_size': [31.0], 'dt': [0.09657683071208986], 'hidden_dim': [479.0], 'l2reg': [0.4009118316922995], 'layers': [0.0], 'lr': [0.004035128447017301], 'lr2': [3.5147978063443394e-05], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [45.0], 'dt': [0.24695948317867028], 'hidden_dim': [429.0], 'l2reg': [0.00034492155165633036], 'layers': [0.0], 'lr': [0.057785697368783806], 'lr2': [1.1493881719436876e-05], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [52.0], 'dt': [0.28094980487915727], 'hidden_dim': [379.0], 'l2reg': [0.09483159292478585], 'layers': [0.0], 'lr': [0.003440280343358725], 'lr2': [1.1193690050425462e-05], 'n_updates': [6.0]}
inf {'act': [4], 'batch_size': [58.0], 'dt': [0.11462147737135436], 'hidden_dim': [245.0], 'l2reg': [0.008620031025559863], 'layers': [2.0], 'lr': [0.018943641421591648], 'lr2': [6.252483038562585e-06], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [51.0], 'dt': [0.24255105733754442], 'hidden_dim': [395.0], 'l2reg': [0.0001731948815501045], 'layers': [1.0], 'lr': [0.0029779993815267592], 'lr2': [8.582046279021375e-05], 'n_updates': [6.0]}
inf {'act': [7], 'batch_size': [66.0], 'dt': [0.06147763816452952], 'hidden_dim': [536.0], 'l2reg': [0.026795760046764785], 'layers': [1.0], 'lr': [0.00792260002633047], 'lr2': [5.634864052858271e-05], 'n_updates': [5.0]}
inf {'act': [4], 'batch_size': [73.0], 'dt': [0.4049229594303914], 'hidden_dim': [350.0], 'l2reg': [0.0016620324930768178], 'layers': [2.0], 'lr': [0.008810973215003823], 'lr2': [3.3380001456469507e-06], 'n_updates': [6.0]}
inf {'act': [5], 'batch_size': [31.0], 'dt': [0.2488605974941731], 'hidden_dim': [395.0], 'l2reg': [0.08272514022610912], 'layers': [0.0], 'lr': [0.003373947410775305], 'lr2': [7.47996465109929e-05], 'n_updates': [4.0]}
inf {'act': [4], 'batch_size': [98.0], 'dt': [0.1682197023267327], 'hidden_dim': [728.0], 'l2reg': [0.018349587622353863], 'layers': [3.0], 'lr': [0.015916652083608686], 'lr2': [2.5348335474677062e-05], 'n_updates': [6.0]}
inf {'act': [1], 'batch_size': [573.0], 'dt': [0.32705028653503215], 'hidden_dim': [137.0], 'l2reg': [0.9248026623105524], 'layers': [6.0], 'lr': [2.5713188292915642e-05], 'lr2': [1.2108336655598292e-06], 'n_updates': [1.0]}
inf {'act': [4], 'batch_size': [106.0], 'dt': [0.18356922249127172], 'hidden_dim': [466.0], 'l2reg': [0.016136198751153324], 'layers': [1.0], 'lr': [0.03866638477450134], 'lr2': [1.023424385578969e-05], 'n_updates': [6.0]}
